Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Que,Trois-Rivières,Cap-de-la-Madeleine,Cap-de-la-Madeleine (South),Row,0.0,0.0,4.0,0.0,4.0,2021
Que,Trois-Rivières,Cap-de-la-Madeleine,Cap-de-la-Madeleine (South),Apt & Other,57.0,534.0,1075.0,270.0,1936.0,2021
Que,Trois-Rivières,Cap-de-la-Madeleine,Cap-de-la-Madeleine (North),Row,0.0,0.0,12.0,0.0,12.0,2021
Que,Trois-Rivières,Cap-de-la-Madeleine,Cap-de-la-Madeleine (North),Apt & Other,25.0,573.0,1153.0,677.0,2428.0,2021
Que,Trois-Rivières,St-Louis/Champlain/St-Maurice/Ste-Marthe,Ste-Marthe-du-Cap,Row,0.0,0.0,0.0,0.0,0.0,2021
Que,Trois-Rivières,St-Louis/Champlain/St-Maurice/Ste-Marthe,Ste-Marthe-du-Cap,Apt & Other,8.0,108.0,208.0,312.0,636.0,2021
Que,Trois-Rivières,St-Louis/Champlain/St-Maurice/Ste-Marthe,St-Louis-de-France,Row,0.0,0.0,2.0,2.0,4.0,2021
Que,Trois-Rivières,St-Louis/Champlain/St-Maurice/Ste-Marthe,St-Louis-de-France,Apt & Other,0.0,20.0,205.0,108.0,333.0,2021
Que,Trois-Rivières,St-Louis/Champlain/St-Maurice/Ste-Marthe,Champlain/St-Maurice/St-Luc-de-Vincennes,Row,0.0,0.0,0.0,0.0,0.0,2021
Que,Trois-Rivières,St-Louis/Champlain/St-Maurice/Ste-Marthe,Champlain/St-Maurice/St-Luc-de-Vincennes,Apt & Other,0.0,8.0,42.0,8.0,58.0,2021
Que,Trois-Rivières,Bécancour,Bécancour (East),Row,0.0,0.0,4.0,0.0,4.0,2021
Que,Trois-Rivières,Bécancour,Bécancour (East),Apt & Other,6.0,57.0,105.0,43.0,211.0,2021
Que,Trois-Rivières,Bécancour,Bécancour (West),Row,0.0,0.0,12.0,0.0,12.0,2021
Que,Trois-Rivières,Bécancour,Bécancour (West),Apt & Other,0.0,36.0,292.0,92.0,420.0,2021
Ont.,Barrie,Barrie,Downtown,Row,1.0,0.0,11.0,33.0,45.0,2021
Ont.,Barrie,Barrie,Downtown,Apt & Other,108.0,555.0,1003.0,103.0,1769.0,2021
Ont.,Barrie,Barrie,West End,Row,0.0,0.0,0.0,0.0,0.0,2021
Ont.,Barrie,Barrie,West End,Apt & Other,2.0,36.0,235.0,29.0,302.0,2021
Ont.,Barrie,Barrie,North Barrie,Row,0.0,0.0,34.0,0.0,34.0,2021
Ont.,Barrie,Barrie,North Barrie,Apt & Other,2.0,270.0,281.0,71.0,624.0,2021
Ont.,Barrie,Barrie,East End,Row,0.0,0.0,17.0,41.0,58.0,2021
Ont.,Barrie,Barrie,East End,Apt & Other,7.0,249.0,400.0,7.0,663.0,2021
Ont.,Barrie,Barrie,South Barrie,Row,0.0,24.0,54.0,218.0,296.0,2021
Ont.,Barrie,Barrie,South Barrie,Apt & Other,9.0,106.0,269.0,23.0,407.0,2021
Ont.,Barrie,Barrie,Springwater,Row,0.0,0.0,0.0,0.0,0.0,2021
Ont.,Barrie,Barrie,Springwater,Apt & Other,0.0,5.0,4.0,0.0,9.0,2021
Ont.,Barrie,Barrie,Innisfil,Row,0.0,4.0,6.0,0.0,10.0,2021
Ont.,Barrie,Barrie,Innisfil,Apt & Other,0.0,4.0,7.0,0.0,11.0,2021
Ont.,Belleville,City of Belleville,Belleville (Southwest),Row,0.0,10.0,11.0,3.0,24.0,2021
Ont.,Belleville,City of Belleville,Belleville (Southwest),Apt & Other,76.0,982.0,1780.0,147.0,2985.0,2021
Ont.,Belleville,City of Belleville,Downtown,Row,0.0,0.0,4.0,0.0,4.0,2021
Ont.,Belleville,City of Belleville,Downtown,Apt & Other,14.0,56.0,119.0,12.0,201.0,2021
Ont.,Belleville,City of Belleville,Belleville (Northwest),Row,0.0,2.0,41.0,66.0,109.0,2021
Ont.,Belleville,City of Belleville,Belleville (Northwest),Apt & Other,4.0,182.0,461.0,24.0,671.0,2021
Ont.,Belleville,City of Belleville,Belleville (East),Row,0.0,0.0,0.0,0.0,0.0,2021
