Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total 
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,Total,Total,494,"2,265","3,477",455,"6,691"
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,"Row / En
bande",0,0,0,20,20
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,"Apt &
Other /
App. &
autres",22,72,254,13,361
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,Total,22,72,254,33,381
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,"Row / En
bande",0,0,12,13,25
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,"Apt &
Other /
App. &
autres",32,906,"1,259",179,"2,376"
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,Total,32,906,"1,271",192,"2,401"
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,"Row / En
bande",0,0,12,33,45
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,"Apt &
Other /
App. &
autres",54,978,"1,513",192,"2,737"
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,Total,54,978,"1,525",225,"2,782"
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,"Row / En
bande",0,0,8,16,24
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,"Apt &
Other /
App. &
autres",7,133,161,12,313
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,Total,7,133,169,28,337
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,"Row / En
bande",0,0,24,0,24
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,"Apt &
Other /
App. &
autres",18,558,"1,320",126,"2,022"
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,Total,18,558,"1,344",126,"2,046"
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,"Row / En
bande",0,17,38,141,196
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,"Apt &
Other /
App. &
autres",340,"2,678","5,292","1,127","9,437"
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,Total,340,"2,695","5,330","1,268","9,633"
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),"Row / En
bande",--,--,--,--,--
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),"Apt &
Other /
App. &
autres",20,605,"1,690",250,"2,565"
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),Total,20,605,"1,690",250,"2,565"
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,"Row / En
bande",0,17,70,157,244
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,"Apt &
Other /
App. &
autres",385,"3,974","8,463","1,515","14,337"
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,Total,385,"3,991","8,533","1,672","14,581"
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,"Row / En
bande",0,0,4,2,6
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,"Apt &
Other /
App. &
autres",38,427,756,35,"1,256"
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,Total,38,427,760,37,"1,262"
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook","Row / En
bande",0,0,0,3,3
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook","Apt &
Other /
App. &
autres",16,493,790,161,"1,460"
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook",Total,16,493,790,164,"1,463"
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,"Row / En
bande",1,16,2,19,38
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,"Apt &
Other /
App. &
autres",143,"2,178","1,805",135,"4,261"
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,Total,144,"2,194","1,807",154,"4,299"
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,"Row / En
bande",1,16,6,24,47
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,"Apt &
Other /
App. &
autres",197,"3,098","3,351",331,"6,977"
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,Total,198,"3,114","3,357",355,"7,024"
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)","Row / En
bande",--,--,--,--,--
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)","Apt &
Other /
App. &
autres",42,n/a,"1,091",276,"2,408"
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)",Total,42,n/a,"1,091",276,"2,408"
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,"Row / En
bande",0,0,0,6,6
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,"Apt &
Other /
App. &
autres",48,277,552,20,897
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,Total,48,277,552,26,903
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,"Row / En
bande",0,0,0,6,6
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,"Apt &
Other /
App. &
autres",90,"1,276","1,643",296,"3,305"
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,Total,90,"1,276","1,643",302,"3,311"
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris","Row / En
bande",--,--,--,--,--
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris","Apt &
Other /
App. &
autres",5,149,695,18,867
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris",Total,5,149,695,18,867
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,"Row / En
bande",0,2,6,17,25
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,"Apt &
Other /
App. &
autres",5,325,730,101,"1,161"
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,Total,5,327,736,118,"1,186"
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,"Row / En
bande",--,--,--,--,--
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,"Apt &
Other /
App. &
autres",4,12,284,7,307
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,Total,4,12,284,7,307
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,"Row / En
bande",0,2,6,17,25
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,"Apt &
Other /
App. &
autres",14,486,"1,709",126,"2,335"
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,Total,14,488,"1,715",143,"2,360"
N.S./N.-É.,Halifax,Bedford,Bedford,"Row / En
bande",0,0,5,5,10
N.S./N.-É.,Halifax,Bedford,Bedford,"Apt &
Other /
App. &
autres",27,227,"1,468",251,"1,973"
N.S./N.-É.,Halifax,Bedford,Bedford,Total,27,227,"1,473",256,"1,983"
N.S./N.-É.,Halifax,Bedford,Total,"Row / En
bande",0,0,5,5,10
N.S./N.-É.,Halifax,Bedford,Total,"Apt &
Other /
App. &
autres",27,227,"1,468",251,"1,973"
N.S./N.-É.,Halifax,Bedford,Total,Total,27,227,"1,473",256,"1,983"
N.S./N.-É.,Halifax,Sackville,Sackville,"Row / En
bande",0,0,22,35,57
N.S./N.-É.,Halifax,Sackville,Sackville,"Apt &
Other /
App. &
autres",5,259,"1,022",205,"1,491"
N.S./N.-É.,Halifax,Sackville,Sackville,Total,5,259,"1,044",240,"1,548"
N.S./N.-É.,Halifax,Sackville,Total,"Row / En
bande",0,0,22,35,57
N.S./N.-É.,Halifax,Sackville,Total,"Apt &
Other /
App. &
autres",5,259,"1,022",205,"1,491"
N.S./N.-É.,Halifax,Sackville,Total,Total,5,259,"1,044",240,"1,548"
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,"Row / En
bande",0,0,3,0,3
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,"Apt &
Other /
App. &
autres",0,77,192,0,269
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,Total,0,77,195,0,272
