Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Row,**,',**,',**,',**,',"$1,342",d
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Apt &
Other",$727,a,$933,a,"$1,111",a,"$1,056",a,"$1,009",a
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Total,$727,a,$931,a,"$1,111",a,"$1,188",b,"$1,019",a
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,Total,Row,**,',**,',**,',**,',"$1,342",d
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,Total,"Apt &
Other",$727,a,$933,a,"$1,111",a,"$1,056",a,"$1,009",a
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,Total,Total,$727,a,$931,a,"$1,111",a,"$1,188",b,"$1,019",a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Row,--,',**,',$809,a,--,',$613,a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Apt &
Other",$842,a,$792,a,$955,a,"$1,048",a,$901,a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Total,$842,a,$764,a,$951,a,"$1,048",a,$888,a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,Total,Row,--,',**,',$809,a,--,',$613,a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,Total,"Apt &
Other",$842,a,$792,a,$955,a,"$1,048",a,$901,a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,Total,Total,$842,a,$764,a,$951,a,"$1,048",a,$888,a
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Row,--,',**,',**,',**,',**,'
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Apt &
Other",**,',$733,a,$931,b,$791,b,$830,a
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Total,**,',$751,a,$944,b,$791,b,$859,b
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,Row,--,',**,',**,',**,',**,'
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other",**,',$733,a,$931,b,$791,b,$830,a
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,Total,**,',$751,a,$944,b,$791,b,$859,b
Nfld.Lab.,St. John's,Total,Total,Row,**,',$655,c,$952,c,**,',$956,b
Nfld.Lab.,St. John's,Total,Total,"Apt &
Other",$783,a,$863,a,"$1,038",a,$992,a,$952,a
Nfld.Lab.,St. John's,Total,Total,Total,$783,a,$851,a,"$1,033",a,"$1,055",a,$952,a
Nfld.Lab.,Total,Total,Total,Row,**,',$655,c,$952,c,**,',$956,b
Nfld.Lab.,Total,Total,Total,"Apt &
Other",$783,a,$863,a,"$1,038",a,$992,a,$952,a
Nfld.Lab.,Total,Total,Total,Total,$783,a,$851,a,"$1,033",a,"$1,055",a,$952,a
N.S.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),Row,--,',**,',**,',**,',**,'
N.S.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),"Apt &
Other","$1,187",a,"$1,499",a,"$2,188",c,"$2,437",c,"$1,746",b
N.S.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),Total,"$1,187",a,"$1,499",a,"$2,186",c,"$2,435",b,"$1,748",b
