Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)","Apt &
Other /
App. &
autres",$823,b,"$1,017",a,"$1,242",a,"$1,578",b,"$1,142",a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)",Total,$823,b,"$1,016",a,"$1,242",a,"$1,579",b,"$1,144",a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,"Apt &
Other /
App. &
autres","$1,036",c,"$1,179",b,"$1,411",b,"$1,492",c,"$1,304",b
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,Total,"$1,036",c,"$1,179",b,"$1,410",b,"$1,497",c,"$1,305",b
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,Total,"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,Total,"Apt &
Other /
App. &
autres",$916,b,"$1,105",a,"$1,333",a,"$1,533",b,"$1,229",a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,Total,Total,$916,b,"$1,104",a,"$1,333",a,"$1,536",b,"$1,229",a
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,"Row / En
bande",--,,--,,--,,**,,**,
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,"Apt &
Other /
App. &
autres",**,,$876,b,"$1,443",b,**,,"$1,312",c
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,Total,**,,$876,b,"$1,443",b,**,,"$1,312",c
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,"Apt &
Other /
App. &
autres",$659,a,$831,a,"$1,067",a,"$1,279",b,$997,a
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,Total,$659,a,$831,a,"$1,063",a,"$1,279",b,$996,a
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,"Apt &
Other /
App. &
autres",$834,c,$835,a,"$1,137",b,"$1,270",b,"$1,043",a
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,Total,$834,c,$835,a,"$1,131",b,"$1,270",b,"$1,041",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,"Apt &
Other /
App. &
autres",**,,$781,a,$951,b,**,,$852,b
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,Total,**,,$781,a,$951,b,**,,$852,b
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,"Row / En
bande",--,,--,,**,,--,,**,
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,"Apt &
Other /
App. &
autres",**,,"$1,028",a,"$1,342",b,"$1,515",c,"$1,258",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,Total,**,,"$1,028",a,"$1,342",b,"$1,515",c,"$1,258",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,"Row / En
bande",--,,**,,**,,"$1,668",b,"$1,474",c
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,"Apt &
Other /
App. &
autres",$843,a,"$1,013",a,"$1,237",a,"$1,449",a,"$1,185",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,Total,$843,a,"$1,011",a,"$1,234",a,"$1,483",a,"$1,193",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),"Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),"Apt &
Other /
App. &
autres","$1,072",a,"$1,157",b,"$1,407",b,"$1,915",b,"$1,428",b
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),Total,"$1,072",a,"$1,157",b,"$1,407",b,"$1,915",b,"$1,428",b
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,"Row / En
bande",--,,**,,**,,"$1,668",c,"$1,474",d
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,"Apt &
Other /
App. &
autres",$861,a,"$1,035",a,"$1,285",a,"$1,588",a,"$1,240",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,Total,$861,a,"$1,034",a,"$1,282",a,"$1,596",a,"$1,245",a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,"Apt &
Other /
App. &
autres",$757,c,"$1,123",c,"$1,220",b,**,,"$1,171",c
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,Total,$757,c,"$1,123",c,"$1,220",b,**,,"$1,171",c
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook","Row / En
bande",--,,--,,--,,**,,**,
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook","Apt &
Other /
App. &
autres",**,,"$1,000",a,"$1,259",a,"$1,343",c,"$1,181",a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook",Total,**,,"$1,000",a,"$1,259",a,"$1,343",c,"$1,181",a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,"Row / En
bande",**,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,"Apt &
Other /
App. &
autres",$675,a,$813,b,"$1,070",c,**,,$926,c
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,Total,$675,a,$814,b,"$1,070",c,"$1,255",d,$927,b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,"Row / En
bande",**,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,"Apt &
Other /
App. &
autres",$687,a,$909,b,"$1,166",b,"$1,317",b,"$1,044",b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,Total,$687,a,$908,b,"$1,166",b,"$1,295",b,"$1,044",b
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)","Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)","Apt &
Other /
App. &
autres",$680,c,$963,b,"$1,038",b,"$1,097",a,"$1,011",b
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)",Total,$680,c,$963,b,"$1,038",b,"$1,097",a,"$1,011",b
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,"Row / En
bande",--,,--,,--,,**,,**,
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,"Apt &
Other /
App. &
autres",**,,"$1,197",b,"$1,674",a,"$1,990",a,"$1,621",a
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,Total,**,,"$1,197",b,"$1,674",a,"$1,926",b,"$1,616",a
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,"Row / En
bande",--,,--,,--,,**,,**,
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,"Apt &
Other /
App. &
autres",$680,d,"$1,009",b,"$1,314",b,"$1,357",b,"$1,218",b
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,Total,$680,d,"$1,009",b,"$1,314",b,"$1,347",b,"$1,217",b
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris","Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris","Apt &
Other /
App. &
autres",**,,"$1,034",d,"$1,615",b,"$1,414",a,"$1,507",b
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris",Total,**,,"$1,034",d,"$1,615",b,"$1,414",a,"$1,507",b
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,"Apt &
Other /
App. &
autres",**,,$839,b,$952,a,"$1,176",b,$939,b
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,Total,**,,$839,b,$952,a,"$1,197",a,$948,b
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,"Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,"Apt &
Other /
App. &
autres",**,,$750,d,$907,b,**,,$915,b
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,Total,**,,$750,d,$907,b,**,,$915,b
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,"Apt &
Other /
App. &
autres",**,,$889,b,"$1,175",b,"$1,227",b,"$1,118",b
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,Total,**,,$889,b,"$1,175",b,"$1,235",b,"$1,120",b
N.S./N.-É.,Halifax,Bedford,Bedford,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,Bedford,Bedford,"Apt &
Other /
App. &
autres",$796,c,$917,b,"$1,457",b,"$1,518",b,"$1,362",b
N.S./N.-É.,Halifax,Bedford,Bedford,Total,$796,c,$917,b,"$1,457",b,"$1,449",b,"$1,356",b
N.S./N.-É.,Halifax,Bedford,Total,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,Bedford,Total,"Apt &
Other /
App. &
autres",$796,c,$917,b,"$1,457",b,"$1,518",b,"$1,362",b
N.S./N.-É.,Halifax,Bedford,Total,Total,$796,c,$917,b,"$1,457",b,"$1,449",b,"$1,356",b
N.S./N.-É.,Halifax,Sackville,Sackville,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,Sackville,Sackville,"Apt &
Other /
App. &
autres",**,,"$1,000",c,"$1,234",a,"$1,523",a,"$1,252",a
N.S./N.-É.,Halifax,Sackville,Sackville,Total,**,,"$1,000",c,"$1,234",a,"$1,523",a,"$1,252",a
N.S./N.-É.,Halifax,Sackville,Total,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,Sackville,Total,"Apt &
Other /
App. &
autres",**,,"$1,000",c,"$1,234",a,"$1,523",a,"$1,252",a
N.S./N.-É.,Halifax,Sackville,Total,Total,**,,"$1,000",c,"$1,234",a,"$1,523",a,"$1,252",a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,"Row / En
bande",--,,--,,**,,--,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,"Apt &
Other /
App. &
autres",--,,$880,a,$959,b,--,,$923,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,Total,--,,$880,a,$959,b,--,,$923,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,"Row / En
bande",--,,**,,**,,"$1,870",a,"$1,852",a
