Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Total,"Apt &
Other /
App. &
autres",$872,a,$1137,a,$1608,a,$1906,b,$1287,a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Total,Total,$872,a,$1136,a,$1608,a,$1911,a,$1288,a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)","Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)","Apt &
Other /
App. &
autres",$752,b,$916,a,$1144,a,$1478,b,$1060,a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)",Total,$752,b,$916,a,$1144,a,$1477,a,$1062,a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,"Apt &
Other /
App. &
autres",$814,b,$982,b,$1216,b,$1194,b,$1109,b
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,Total,$814,b,$983,b,$1216,b,$1201,b,$1110,b
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,Total,"Row / En
bande",--,,$986,a,$1146,a,**,,$1208,b
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,Total,"Apt &
Other /
App. &
autres",$782,b,$947,a,$1181,a,$1362,a,$1084,a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,Total,Total,$782,b,$947,a,$1181,a,$1367,a,$1085,a
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,"Row / En
bande",--,,--,,--,,$1570,a,$1570,a
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,"Apt &
Other /
App. &
autres",$1088,c,$787,a,$1270,b,**,,$1148,b
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,Total,$1088,c,$787,a,$1270,b,$1427,a,$1184,b
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,"Apt &
Other /
App. &
autres",$598,b,$686,a,$893,a,$1036,a,$823,a
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,Total,$598,b,$686,a,$894,a,$1036,b,$824,a
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,"Row / En
bande",--,,--,,**,,$1570,a,$1399,b
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,"Apt &
Other /
App. &
autres",$829,d,$694,a,$957,a,$1035,a,$867,a
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,Total,$829,d,$694,a,$958,a,$1106,a,$875,a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,"Row / En
bande",--,,--,,**,,$1684,a,$1684,a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,"Apt &
Other /
App. &
autres",**,,$718,a,**,,**,,**,
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,Total,**,,$718,a,**,,$1727,a,**,
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,"Row / En
bande",--,,--,,$1252,b,--,,$1252,b
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,"Apt &
Other /
App. &
autres",**,,$874,a,$1234,a,$1351,b,$1138,a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,Total,**,,$874,a,$1234,a,$1351,b,$1139,a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,"Row / En
bande",--,,**,,**,,$1464,b,$1311,b
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,"Apt &
Other /
App. &
autres",$751,a,$855,a,$1066,a,$1320,a,$1026,a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,Total,$751,a,$854,a,$1064,a,$1337,a,$1033,a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),"Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),"Apt &
Other /
App. &
autres",**,,$996,a,$1323,a,$1506,a,$1259,a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),Total,**,,$996,a,$1323,a,$1506,a,$1259,a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,"Row / En
bande",--,,**,,$1021,c,$1488,a,$1335,b
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,"Apt &
Other /
App. &
autres",$756,a,$876,a,$1147,a,$1360,a,$1085,a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,Total,$756,a,$875,a,$1146,a,$1373,a,$1090,a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,"Apt &
Other /
App. &
autres",$645,a,$770,a,$896,b,**,,$839,b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,Total,$645,a,$770,a,$896,a,**,,$840,b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook","Row / En
bande",--,,--,,--,,**,,**,
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook","Apt &
Other /
App. &
autres",$674,a,$860,b,$1078,b,$1230,c,$998,b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook",Total,$674,a,$860,b,$1078,b,$1230,c,$998,b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,"Row / En
bande",**,,**,,**,,$952,b,$795,b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,"Apt &
Other /
App. &
autres",$600,a,$679,a,$845,a,**,,$758,a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,Total,$599,a,$678,a,$845,a,$1019,d,$759,a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,"Row / En
bande",**,,**,,**,,$963,b,$824,b
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,"Apt &
Other /
App. &
autres",$614,a,$709,a,$882,a,$1074,c,$801,a
N.S./N.-É.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,Total,$613,a,$709,a,$883,a,$1066,c,$801,a
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)","Row / En
bande",--,,--,,--,,--,,--,
