Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total 
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Row,1,21,18,17,57
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Apt &
Other",230,708,"1,066",106,"2,110"
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Total,231,729,"1,084",123,"2,167"
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,Total,Row,1,21,18,17,57
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,Total,"Apt &
Other",230,708,"1,066",106,"2,110"
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,Total,Total,231,729,"1,084",123,"2,167"
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Row,0,47,20,0,67
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Apt &
Other",210,474,862,123,"1,669"
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Total,210,521,882,123,"1,736"
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,Total,Row,0,47,20,0,67
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,Total,"Apt &
Other",210,474,862,123,"1,669"
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,Total,Total,210,521,882,123,"1,736"
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Row,0,4,83,6,93
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Apt &
Other",7,141,181,62,391
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Total,7,145,264,68,484
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,Row,0,4,83,6,93
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other",7,141,181,62,391
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,Total,7,145,264,68,484
Nfld.Lab.,St. John's,Total,Total,Row,1,72,121,23,217
Nfld.Lab.,St. John's,Total,Total,"Apt &
Other",447,"1,323","2,109",291,"4,170"
Nfld.Lab.,St. John's,Total,Total,Total,448,"1,395","2,230",314,"4,387"
Nfld.Lab.,Total,Total,Total,Row,1,72,121,23,217
Nfld.Lab.,Total,Total,Total,"Apt &
Other",447,"1,323","2,109",291,"4,170"
Nfld.Lab.,Total,Total,Total,Total,448,"1,395","2,230",314,"4,387"
N.S.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),Row,0,8,4,5,17
N.S.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),"Apt &
Other",336,"2,153","1,721",222,"4,432"
N.S.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),Total,336,"2,161","1,725",227,"4,449"
N.S.,Halifax,Peninsula South ~ Sud de la péninsule,South End,Row,0,12,4,4,20
N.S.,Halifax,Peninsula South ~ Sud de la péninsule,South End,"Apt &
Other",916,"2,385","1,343",155,"4,799"
N.S.,Halifax,Peninsula South ~ Sud de la péninsule,South End,Total,916,"2,397","1,347",159,"4,819"
