Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total 
Ont./Ont.,Toronto,Etobicoke (South) ~ Etobicoke (Sud),Stonegate-Queensway,"Row / En
bande",--,--,--,--,--
Ont./Ont.,Toronto,Etobicoke (South) ~ Etobicoke (Sud),Stonegate-Queensway,"Apt &
Other /
App. &
autres",104,"1,308","1,466",88,"2,966"
Ont./Ont.,Toronto,Etobicoke (South) ~ Etobicoke (Sud),Stonegate-Queensway,Total,104,"1,308","1,466",88,"2,966"
Ont./Ont.,Toronto,Etobicoke (South) ~ Etobicoke (Sud),Total,"Row / En
bande",--,--,--,--,--
Ont./Ont.,Toronto,Etobicoke (South) ~ Etobicoke (Sud),Total,"Apt &
Other /
App. &
autres",880,"4,540","4,523",379,"10,322"
Ont./Ont.,Toronto,Etobicoke (South) ~ Etobicoke (Sud),Total,Total,880,"4,540","4,523",379,"10,322"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Kingsway South ~ Kingsway (Sud),"Row / En
bande",--,--,--,--,--
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Kingsway South ~ Kingsway (Sud),"Apt &
Other /
App. &
autres",11,109,238,8,366
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Kingsway South ~ Kingsway (Sud),Total,11,109,238,8,366
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),"Islington/City Centre North ~
Islington/Centre-ville (Nord)","Row / En
bande",0,0,0,34,34
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),"Islington/City Centre North ~
Islington/Centre-ville (Nord)","Apt &
Other /
App. &
autres",197,"1,654","1,733",490,"4,074"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),"Islington/City Centre North ~
Islington/Centre-ville (Nord)",Total,197,"1,654","1,733",524,"4,108"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Etobicoke West Mall,"Row / En
bande",0,0,2,8,10
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Etobicoke West Mall,"Apt &
Other /
App. &
autres",17,513,"1,008",438,"1,976"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Etobicoke West Mall,Total,17,513,"1,010",446,"1,986"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Eringate-Centennial-West Deane,"Row / En
bande",0,0,16,66,82
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Eringate-Centennial-West Deane,"Apt &
Other /
App. &
autres",10,148,299,80,537
