Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Ont.,Kitchener - Cambridge - Waterl,Cambridge,Galt East,Apt & Other,26.0,386.0,1081.0,76.0,1569.0,2019
Ont.,Kitchener - Cambridge - Waterl,Cambridge,Preston Outside Core,Row,0.0,0.0,123.0,16.0,139.0,2019
Ont.,Kitchener - Cambridge - Waterl,Cambridge,Preston Outside Core,Apt & Other,13.0,395.0,942.0,37.0,1387.0,2019
Ont.,Kitchener - Cambridge - Waterl,Cambridge,Hespeler,Row,0.0,0.0,28.0,0.0,28.0,2019
Ont.,Kitchener - Cambridge - Waterl,Cambridge,Hespeler,Apt & Other,5.0,30.0,114.0,13.0,162.0,2019
Ont.,Kitchener - Cambridge - Waterl,Three Townships,Woolwich & North Dumfries,Row,5.0,13.0,46.0,8.0,72.0,2019
Ont.,Kitchener - Cambridge - Waterl,Three Townships,Woolwich & North Dumfries,Apt & Other,24.0,311.0,334.0,84.0,753.0,2019
Ont.,London,Downtown North,Downtown North,Row,0.0,0.0,22.0,20.0,42.0,2019
Ont.,London,Downtown North,Downtown North,Apt & Other,294.0,2573.0,2460.0,156.0,5483.0,2019
Ont.,London,Northeast,Carling,Row,0.0,0.0,170.0,446.0,616.0,2019
Ont.,London,Northeast,Carling,Apt & Other,59.0,1430.0,1831.0,155.0,3475.0,2019
Ont.,London,Northeast,Huron Heights,Row,0.0,0.0,18.0,65.0,83.0,2019
Ont.,London,Northeast,Huron Heights,Apt & Other,35.0,650.0,1018.0,14.0,1717.0,2019
Ont.,London,North,North London/Masonville,Row,0.0,0.0,0.0,12.0,12.0,2019
Ont.,London,North,North London/Masonville,Apt & Other,40.0,727.0,1114.0,146.0,2027.0,2019
Ont.,London,North,Stoney Creek/Upland/Stoneybrook,Row,0.0,0.0,104.0,27.0,131.0,2019
Ont.,London,North,Stoney Creek/Upland/Stoneybrook,Apt & Other,6.0,612.0,1029.0,66.0,1713.0,2019
Ont.,London,Northwest,West London,Row,0.0,0.0,8.0,0.0,8.0,2019
Ont.,London,Northwest,West London,Apt & Other,176.0,3543.0,4707.0,149.0,8575.0,2019
Ont.,London,Northwest,Oakridge,Row,0.0,0.0,6.0,38.0,44.0,2019
Ont.,London,Northwest,Oakridge,Apt & Other,5.0,182.0,369.0,2.0,558.0,2019
Ont.,London,Northwest,Medway,Row,,,,,,2019
Ont.,London,Northwest,Medway,Apt & Other,0.0,141.0,197.0,13.0,351.0,2019
Ont.,London,Northwest,Hyde Park,Row,0.0,0.0,43.0,194.0,237.0,2019
Ont.,London,Northwest,Hyde Park,Apt & Other,0.0,22.0,32.0,0.0,54.0,2019
Ont.,London,Southwest,Southcrest,Row,0.0,0.0,338.0,294.0,632.0,2019
Ont.,London,Southwest,Southcrest,Apt & Other,84.0,1004.0,1589.0,26.0,2703.0,2019
Ont.,London,Southwest,Byron/Riverbend,Row,0.0,2.0,47.0,297.0,346.0,2019
Ont.,London,Southwest,Byron/Riverbend,Apt & Other,7.0,187.0,541.0,62.0,797.0,2019
Ont.,London,Southwest,Westmount/Highland/Talbot,Row,0.0,0.0,153.0,601.0,754.0,2019
Ont.,London,Southwest,Westmount/Highland/Talbot,Apt & Other,26.0,1055.0,1751.0,252.0,3084.0,2019
Ont.,London,Central South,Central South,Row,0.0,0.0,3.0,8.0,11.0,2019
Ont.,London,Central South,Central South,Apt & Other,178.0,1214.0,1031.0,148.0,2571.0,2019
Ont.,London,South,White Oaks/Highland,Row,0.0,0.0,0.0,232.0,232.0,2019
Ont.,London,South,White Oaks/Highland,Apt & Other,19.0,1003.0,1862.0,108.0,2992.0,2019
Ont.,London,South,Glen Cairn/Westminster,Row,0.0,0.0,55.0,95.0,150.0,2019
Ont.,London,South,Glen Cairn/Westminster,Apt & Other,57.0,513.0,914.0,98.0,1582.0,2019
Ont.,London,South,London Remainder,Row,,,,,,2019
Ont.,London,South,London Remainder,Apt & Other,0.0,25.0,144.0,3.0,172.0,2019
Ont.,London,East,East London,Row,0.0,3.0,35.0,30.0,68.0,2019
Ont.,London,East,East London,Apt & Other,52.0,1327.0,1121.0,146.0,2646.0,2019
Ont.,London,East,Hamilton Rd,Row,0.0,0.0,29.0,55.0,84.0,2019
Ont.,London,East,Hamilton Rd,Apt & Other,26.0,339.0,364.0,11.0,740.0,2019
Ont.,London,East,Airport/Argyle/Crumlin,Row,0.0,5.0,69.0,192.0,266.0,2019
Ont.,London,East,Airport/Argyle/Crumlin,Apt & Other,11.0,263.0,585.0,74.0,933.0,2019
