Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Nfld.Lab.,St. John's,St. John's East,St. John's East,Row,1.0,22.0,18.0,17.0,58.0,2021
Nfld.Lab.,St. John's,St. John's East,St. John's East,Apt & Other,197.0,651.0,1013.0,107.0,1968.0,2021
Nfld.Lab.,St. John's,St. John's West,St. John's West,Row,0.0,48.0,21.0,0.0,69.0,2021
Nfld.Lab.,St. John's,St. John's West,St. John's West,Apt & Other,147.0,409.0,857.0,121.0,1534.0,2021
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Row,0.0,4.0,83.0,6.0,93.0,2021
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Apt & Other,7.0,143.0,183.0,62.0,395.0,2021
N.S.,Halifax,Peninsula South,Downtown Halifax,Row,0.0,8.0,4.0,5.0,17.0,2021
N.S.,Halifax,Peninsula South,Downtown Halifax,Apt & Other,342.0,2096.0,1620.0,236.0,4294.0,2021
N.S.,Halifax,Peninsula South,South End,Row,0.0,12.0,4.0,4.0,20.0,2021
N.S.,Halifax,Peninsula South,South End,Apt & Other,919.0,2387.0,1353.0,145.0,4804.0,2021
N.S.,Halifax,Peninsula South,Peninsula Southwest,Row,,,,,,2021
N.S.,Halifax,Peninsula South,Peninsula Southwest,Apt & Other,104.0,484.0,360.0,180.0,1128.0,2021
N.S.,Halifax,Peninsula North,Peninsula Northwest,Row,0.0,7.0,16.0,21.0,44.0,2021
N.S.,Halifax,Peninsula North,Peninsula Northwest,Apt & Other,285.0,1245.0,1645.0,257.0,3432.0,2021
N.S.,Halifax,Peninsula North,North End,Row,0.0,5.0,2.0,2.0,9.0,2021
N.S.,Halifax,Peninsula North,North End,Apt & Other,241.0,1204.0,1801.0,213.0,3459.0,2021
N.S.,Halifax,Mainland South,Armdale,Row,0.0,0.0,0.0,20.0,20.0,2021
N.S.,Halifax,Mainland South,Armdale,Apt & Other,22.0,72.0,254.0,13.0,361.0,2021
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Row,0.0,0.0,12.0,13.0,25.0,2021
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Apt & Other,40.0,895.0,1316.0,180.0,2431.0,2021
N.S.,Halifax,Mainland North,Fairmount,Row,0.0,0.0,8.0,16.0,24.0,2021
N.S.,Halifax,Mainland North,Fairmount,Apt & Other,7.0,120.0,251.0,9.0,387.0,2021
N.S.,Halifax,Mainland North,Fairview,Row,0.0,0.0,23.0,0.0,23.0,2021
N.S.,Halifax,Mainland North,Fairview,Apt & Other,29.0,534.0,1344.0,126.0,2033.0,2021
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Row,0.0,19.0,49.0,141.0,209.0,2021
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Apt & Other,378.0,2648.0,5601.0,1075.0,9702.0,2021
N.S.,Halifax,Mainland North,Bedford South,Row,,,,,,2021
N.S.,Halifax,Mainland North,Bedford South,Apt & Other,22.0,703.0,1863.0,363.0,2951.0,2021
N.S.,Halifax,Dartmouth North,Wyse Road,Row,0.0,2.0,7.0,2.0,11.0,2021
N.S.,Halifax,Dartmouth North,Wyse Road,Apt & Other,40.0,464.0,725.0,33.0,1262.0,2021
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Row,0.0,0.0,0.0,3.0,3.0,2021
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Apt & Other,14.0,483.0,817.0,148.0,1462.0,2021
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Row,1.0,19.0,7.0,14.0,41.0,2021
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Apt & Other,139.0,2137.0,1757.0,127.0,4160.0,2021
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Row,,,,,,2021
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Apt & Other,43.0,977.0,1178.0,278.0,2476.0,2021
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Row,0.0,0.0,0.0,6.0,6.0,2021
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Apt & Other,24.0,251.0,696.0,59.0,1030.0,2021
