Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S.,Halifax,Peninsula North ~ Nord de la péninsule,Total,"Apt &
Other",0.70%,b,0.90%,a,1.00%,a,**,',1.20%,a
N.S.,Halifax,Peninsula North ~ Nord de la péninsule,Total,Total,0.70%,b,0.90%,a,1.00%,a,**,',1.20%,a
N.S.,Halifax,"Mainland South ~ Sud de la partie
continentale",Armdale,Row,--,',--,',--,',**,',**,'
N.S.,Halifax,"Mainland South ~ Sud de la partie
continentale",Armdale,"Apt &
Other",**,',**,',0.90%,a,**,',0.70%,a
N.S.,Halifax,"Mainland South ~ Sud de la partie
continentale",Armdale,Total,**,',**,',0.90%,a,**,',0.60%,a
N.S.,Halifax,"Mainland South ~ Sud de la partie
continentale",Spryfield/Herring Cove,Row,--,',--,',**,',**,',**,'
N.S.,Halifax,"Mainland South ~ Sud de la partie
continentale",Spryfield/Herring Cove,"Apt &
Other",0.00%,d,1.10%,d,0.30%,b,0.00%,d,0.60%,a
N.S.,Halifax,"Mainland South ~ Sud de la partie
continentale",Spryfield/Herring Cove,Total,0.00%,d,1.10%,d,0.30%,b,0.00%,d,0.60%,a
N.S.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,Row,--,',--,',**,',**,',**,'
N.S.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,"Apt &
Other",0.00%,d,1.00%,d,0.40%,b,0.00%,d,0.60%,a
N.S.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,Total,0.00%,d,1.00%,d,0.40%,b,0.00%,d,0.60%,a
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,Row,--,',--,',**,',**,',**,'
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,"Apt &
Other",**,',0.00%,d,**,',**,',**,'
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,Total,**,',0.00%,d,**,',**,',**,'
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,Row,--,',--,',**,',--,',**,'
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,"Apt &
Other",**,',1.10%,d,0.90%,d,0.00%,d,0.90%,a
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,Total,**,',1.10%,d,0.90%,d,0.00%,d,0.90%,a
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,Row,--,',**,',**,',0.80%,d,1.20%,a
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,"Apt &
Other",0.70%,b,1.10%,a,0.90%,a,0.30%,b,0.90%,a
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,Total,0.70%,b,1.10%,a,0.90%,a,0.30%,a,0.90%,a
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),Row,--,,--,,--,,--,,--,
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),"Apt &
Other",0.00%,a,0.80%,a,0.70%,b,0.70%,b,0.70%,a
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Bedford South ~ Bedford (Sud),Total,0.00%,a,0.80%,a,0.70%,b,0.70%,b,0.70%,a
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,Row,--,',**,',**,',**,',1.10%,d
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,"Apt &
Other",0.60%,b,1.00%,a,0.90%,a,0.30%,a,0.80%,a
N.S.,Halifax,"Mainland North ~ Nord de la partie
continentale",Total,Total,0.60%,b,1.00%,a,0.90%,a,0.40%,a,0.80%,a
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,Row,--,',**,',**,',**,',**,'
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,"Apt &
Other",**,',0.50%,b,0.00%,d,**,',**,'
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,Wyse Road ~ Chemin Wyse,Total,**,',0.50%,b,0.00%,d,**,',**,'
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook",Row,--,',--,',--,',**,',**,'
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook","Apt &
Other",**,',0.70%,b,**,',0.00%,d,0.80%,d
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,"Albro Lake/Lake Banook ~ Lac Albro/Lac
Banook",Total,**,',0.70%,b,**,',0.00%,d,0.80%,d
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,Row,**,',**,',**,',**,',**,'
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,"Apt &
Other",**,',2.60%,b,2.30%,b,0.00%,d,2.50%,b
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,Burnside/Tufts Cove,Total,**,',2.50%,b,2.30%,b,0.00%,d,2.40%,b
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,Row,**,',**,',**,',**,',0.00%,d
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,"Apt &
Other",5.50%,d,2.00%,b,1.60%,c,**,',1.90%,b
N.S.,Halifax,Dartmouth North ~ Nord de Dartmouth,Total,Total,5.50%,d,1.90%,b,1.60%,c,**,',1.90%,b
N.S.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)",Row,--,,--,,--,,--,,--,
N.S.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)","Apt &
Other",**,',**,',0.70%,b,0.00%,c,1.30%,a
N.S.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)",Total,**,',**,',0.70%,b,0.00%,c,1.30%,a
N.S.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,Row,--,',--,',--,',**,',**,'
N.S.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,"Apt &
Other",**,',0.00%,d,0.40%,a,**,',0.30%,a
N.S.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,Total,**,',0.00%,d,0.40%,a,0.00%,d,0.30%,a
N.S.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,Row,--,',--,',--,',**,',**,'
N.S.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,"Apt &
Other",**,',**,',0.60%,a,0.00%,b,1.00%,a
N.S.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,Total,**,',**,',0.60%,a,0.00%,b,1.00%,a
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris",Row,--,,--,,--,,--,,--,
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris","Apt &
Other",**,',1.00%,d,**,',**,',1.00%,d
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris",Total,**,',1.00%,d,**,',**,',1.00%,d
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,Row,--,',**,',**,',**,',**,'
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,"Apt &
Other",**,',**,',1.30%,a,**,',2.20%,c
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,Total,**,',**,',1.30%,a,1.50%,d,2.20%,c
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,Row,--,,--,,--,,--,,--,
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,"Apt &
Other",**,',**,',2.30%,c,**,',2.60%,c
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,Total,**,',**,',2.30%,c,**,',2.60%,c
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,Row,--,',**,',**,',**,',**,'
